"";"Region";"aldersgruppe";"value"
"1";"0";"0-15";979281
"2";"0";"16-24";599879
"3";"0";"25-34";766613
"4";"0";"35-44";745273
"5";"0";"45-54";737773
"6";"0";"55-64";685216
"7";"0";"65-74";550096
"8";"0";"75 og eldre";486072
"9";"03";"0-15";117779
"10";"03";"16-24";75752
"11";"03";"25-34";151895
"12";"03";"35-44";114359
"13";"03";"45-54";91021
"14";"03";"55-64";72192
"15";"03";"65-74";50737
"16";"03";"75 og eldre";43975
"17";"11";"0-15";99485
"18";"11";"16-24";55757
"19";"11";"25-34";66426
"20";"11";"35-44";71524
"21";"11";"45-54";66612
"22";"11";"55-64";58443
"23";"11";"65-74";44926
"24";"11";"75 og eldre";36244
"25";"15";"0-15";47982
"26";"15";"16-24";29683
"27";"15";"25-34";32233
"28";"15";"35-44";34438
"29";"15";"45-54";34936
"30";"15";"55-64";33950
"31";"15";"65-74";30602
"32";"15";"75 og eldre";26800
"33";"18";"0-15";40171
"34";"18";"16-24";24918
"35";"18";"25-34";30934
"36";"18";"35-44";29099
"37";"18";"45-54";30647
"38";"18";"55-64";33157
"39";"18";"65-74";28347
"40";"18";"75 og eldre";25808
"41";"31";"0-15";53312
"42";"31";"16-24";32108
"43";"31";"25-34";37428
"44";"31";"35-44";39290
"45";"31";"45-54";43264
"46";"31";"55-64";42122
"47";"31";"65-74";34229
"48";"31";"75 og eldre";30399
"49";"32";"0-15";140660
"50";"32";"16-24";76660
"51";"32";"25-34";85953
"52";"32";"35-44";104130
"53";"32";"45-54";105512
"54";"32";"55-64";91951
"55";"32";"65-74";65025
"56";"32";"75 og eldre";58912
"57";"33";"0-15";46322
"58";"33";"16-24";27766
"59";"33";"25-34";33055
"60";"33";"35-44";36366
"61";"33";"45-54";37801
"62";"33";"55-64";34622
"63";"33";"65-74";28288
"64";"33";"75 og eldre";25599
"65";"34";"0-15";59438
"66";"34";"16-24";38316
"67";"34";"25-34";43461
"68";"34";"35-44";43445
"69";"34";"45-54";50227
"70";"34";"55-64";52459
"71";"34";"65-74";46474
"72";"34";"75 og eldre";42484
"73";"39";"0-15";43767
"74";"39";"16-24";25843
"75";"39";"25-34";29719
"76";"39";"35-44";33024
"77";"39";"45-54";35003
"78";"39";"55-64";34603
"79";"39";"65-74";29070
"80";"39";"75 og eldre";25403
"81";"40";"0-15";29489
"82";"40";"16-24";18103
"83";"40";"25-34";20589
"84";"40";"35-44";21339
"85";"40";"45-54";23959
"86";"40";"55-64";23917
"87";"40";"65-74";21091
"88";"40";"75 og eldre";18606
"89";"42";"0-15";59164
"90";"42";"16-24";36741
"91";"42";"25-34";40591
"92";"42";"35-44";40978
"93";"42";"45-54";42200
"94";"42";"55-64";39477
"95";"42";"65-74";32661
"96";"42";"75 og eldre";28038
"97";"46";"0-15";117674
"98";"46";"16-24";74629
"99";"46";"25-34";89316
"100";"46";"35-44";86110
"101";"46";"45-54";83808
"102";"46";"55-64";78000
"103";"46";"65-74";64074
"104";"46";"75 og eldre";57688
"105";"50";"0-15";84065
"106";"50";"16-24";56459
"107";"50";"25-34";69704
"108";"50";"35-44";61506
"109";"50";"45-54";60690
"110";"50";"55-64";58564
"111";"50";"65-74";48493
"112";"50";"75 og eldre";43475
"113";"55";"0-15";27637
"114";"55";"16-24";18957
"115";"55";"25-34";24726
"116";"55";"35-44";20876
"117";"55";"45-54";22020
"118";"55";"55-64";21476
"119";"55";"65-74";18028
"120";"55";"75 og eldre";15890
"121";"56";"0-15";12336
"122";"56";"16-24";8187
"123";"56";"25-34";10583
"124";"56";"35-44";8789
"125";"56";"45-54";10073
"126";"56";"55-64";10283
"127";"56";"65-74";8051
"128";"56";"75 og eldre";6751
"129";"0301";"0-15";117779
"130";"0301";"16-24";75752
"131";"0301";"25-34";151895
"132";"0301";"35-44";114359
"133";"0301";"45-54";91021
"134";"0301";"55-64";72192
"135";"0301";"65-74";50737
"136";"0301";"75 og eldre";43975
"137";"1101";"0-15";2893
"138";"1101";"16-24";1668
"139";"1101";"25-34";1820
"140";"1101";"35-44";1947
"141";"1101";"45-54";2020
"142";"1101";"55-64";1885
"143";"1101";"65-74";1650
"144";"1101";"75 og eldre";1338
"145";"1103";"0-15";27600
"146";"1103";"16-24";17221
"147";"1103";"25-34";21739
"148";"1103";"35-44";21545
"149";"1103";"45-54";20054
"150";"1103";"55-64";17509
"151";"1103";"65-74";13105
"152";"1103";"75 og eldre";10275
"153";"1106";"0-15";6584
"154";"1106";"16-24";4247
"155";"1106";"25-34";4886
"156";"1106";"35-44";5336
"157";"1106";"45-54";5482
"158";"1106";"55-64";4688
"159";"1106";"65-74";3910
"160";"1106";"75 og eldre";3159
"161";"1108";"0-15";17692
"162";"1108";"16-24";9047
"163";"1108";"25-34";11174
"164";"1108";"35-44";13234
"165";"1108";"45-54";11237
"166";"1108";"55-64";9402
"167";"1108";"65-74";6759
"168";"1108";"75 og eldre";5157
"169";"1111";"0-15";668
"170";"1111";"16-24";336
"171";"1111";"25-34";373
"172";"1111";"35-44";374
"173";"1111";"45-54";423
"174";"1111";"55-64";435
"175";"1111";"65-74";407
"176";"1111";"75 og eldre";331
"177";"1112";"0-15";664
